Unit: BTU,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
chemicals 20,1.69648E+14,1.71058E+14,1.97767E+14,2.03857E+14,2.09511E+14,2.14858E+14,2.19979E+14,2.24806E+14,2.29563E+14,2.34259E+14,2.38898E+14,2.43128E+14,2.47298E+14,2.51412E+14,2.55474E+14,2.59482E+14,2.63177E+14,2.67072E+14,2.70909E+14,2.74684E+14,2.78391E+14,2.81855E+14,2.8478E+14,2.8743E+14,2.89794E+14,2.91856E+14,2.93608E+14,2.9504E+14,2.96143E+14,2.96906E+14,2.97321E+14,2.9738E+14,2.96779E+14,2.9581E+14,2.9447E+14,2.92755E+14,2.90663E+14,2.88191E+14,2.85341E+14,2.82113E+14,2.78513E+14,2.74545E+14
rubber and plastic products 22,21589119012,21508615453,24562397950,25004318444,25372907227,25685470668,25952828580,26168119387,26358218130,26524206440,26666973412,26747603398,26806061074,26842877377,26858466012,26852874286,26799810088,26752249519,26683480569,26593292377,26481441607,26331757258,26118342612,25867425639,25579364764,25254392348,24893133872,24496353598,24064958270,23599763672,23101981539,22572744775,21991506754,21382957641,20748788780,20090842674,19411106417,18711514454,17994337616,17261787467,16516374449,15760536568
cement and other nonmetallic minerals 239,1.48259E+11,1.46238E+11,1.56936E+11,1.55997E+11,1.54791E+11,1.53434E+11,1.51999E+11,1.50446E+11,1.48932E+11,1.47457E+11,1.46021E+11,1.44411E+11,1.42843E+11,1.41315E+11,1.39826E+11,1.38373E+11,1.36816E+11,1.35425E+11,1.34059E+11,1.32715E+11,1.31387E+11,1.29994E+11,1.28408E+11,1.26756E+11,1.25039E+11,1.23254E+11,1.21401E+11,1.19482E+11,1.17496E+11,1.15443E+11,1.13326E+11,1.11144E+11,1.08791E+11,1.06381E+11,1.03917E+11,1.01401E+11,98835472596,96223251931,93567681915,90871829326,88140099618,85376347969
iron and steel 241,2.89984E+12,2.89418E+12,3.04081E+12,3.07736E+12,3.10783E+12,3.13438E+12,3.15831E+12,3.17875E+12,3.19895E+12,3.21898E+12,3.23889E+12,3.25384E+12,3.26869E+12,3.28344E+12,3.29809E+12,3.3126E+12,3.32363E+12,3.33776E+12,3.35161E+12,3.36511E+12,3.37821E+12,3.38874E+12,3.39322E+12,3.3949E+12,3.39371E+12,3.38952E+12,3.38228E+12,3.37191E+12,3.35837E+12,3.34158E+12,3.32151E+12,3.2981E+12,3.26803E+12,3.23464E+12,3.19794E+12,3.15791E+12,3.1146E+12,3.06801E+12,3.0182E+12,2.9652E+12,2.90912E+12,2.85003E+12
other metals 242,2.23857E+12,2.23726E+12,2.35209E+12,2.38268E+12,2.40869E+12,2.43177E+12,2.45291E+12,2.47144E+12,2.48985E+12,2.50819E+12,2.52651E+12,2.54107E+12,2.5556E+12,2.57012E+12,2.58462E+12,2.59907E+12,2.61088E+12,2.62515E+12,2.63927E+12,2.65318E+12,2.66683E+12,2.67854E+12,2.68555E+12,2.69042E+12,2.69305E+12,2.69337E+12,2.69131E+12,2.6868E+12,2.67979E+12,2.67022E+12,2.65804E+12,2.64321E+12,2.62306E+12,2.60024E+12,2.57473E+12,2.54653E+12,2.51564E+12,2.48206E+12,2.44582E+12,2.40695E+12,2.36549E+12,2.32151E+12
metal products except machinery and vehicles 25,6.69304E+11,6.64872E+11,6.95323E+11,7.00116E+11,7.02882E+11,7.04134E+11,7.04188E+11,7.0287E+11,7.00914E+11,6.98344E+11,6.9518E+11,6.90413E+11,6.85092E+11,6.79226E+11,6.72822E+11,6.65879E+11,6.57749E+11,6.49736E+11,6.41177E+11,6.32066E+11,6.22396E+11,6.11791E+11,5.99672E+11,5.86669E+11,5.72806E+11,5.58106E+11,5.426E+11,5.26325E+11,5.09321E+11,4.91625E+11,4.73286E+11,4.5435E+11,4.34438E+11,4.1408E+11,3.93336E+11,3.72269E+11,3.50946E+11,3.47439E+11,3.43503E+11,3.39139E+11,3.34355E+11,3.29155E+11
other manufacturing 31T33,3.29605E+13,3.21654E+13,3.75616E+13,3.97177E+13,4.17712E+13,4.37438E+13,4.565E+13,4.74747E+13,4.92641E+13,5.10207E+13,5.27467E+13,5.43633E+13,5.59481E+13,5.75025E+13,5.90277E+13,6.05243E+13,6.19316E+13,6.33707E+13,6.47816E+13,6.61636E+13,6.7516E+13,6.87963E+13,6.99315E+13,7.09848E+13,7.19529E+13,7.28321E+13,7.36194E+13,7.43119E+13,7.49072E+13,7.54021E+13,7.57943E+13,7.60814E+13,7.61853E+13,7.61803E+13,7.60651E+13,7.58388E+13,7.55008E+13,7.50504E+13,7.4488E+13,7.38136E+13,7.30288E+13,7.21348E+13
glass and glass products 231,2.012E+11,1.96496E+11,2.23784E+11,2.28568E+11,2.32717E+11,2.36386E+11,2.39672E+11,2.42509E+11,2.45143E+11,2.47586E+11,2.49845E+11,2.51554E+11,2.53085E+11,2.54444E+11,2.55634E+11,2.56656E+11,2.57257E+11,2.57943E+11,2.5846E+11,2.58804E+11,2.58974E+11,2.5881E+11,2.58051E+11,2.56953E+11,2.55514E+11,2.53733E+11,2.51612E+11,2.49154E+11,2.46362E+11,2.43242E+11,2.39798E+11,2.36037E+11,2.31737E+11,2.27147E+11,2.22278E+11,2.17143E+11,2.11756E+11,2.06129E+11,2.0028E+11,1.94225E+11,1.87984E+11,1.81574E+11
road vehicles 29,3.81189E+12,3.52999E+12,4.36238E+12,4.44788E+12,4.52244E+12,4.58909E+12,4.64969E+12,4.70296E+12,4.75365E+12,4.80194E+12,4.84795E+12,4.88455E+12,4.91895E+12,4.9512E+12,4.98137E+12,5.00943E+12,5.03042E+12,5.05423E+12,5.07585E+12,5.09522E+12,5.11225E+12,5.12377E+12,5.1246E+12,5.11966E+12,5.1089E+12,5.0922E+12,5.06955E+12,5.04092E+12,5.00631E+12,4.9657E+12,4.91914E+12,4.86665E+12,4.80349E+12,4.73468E+12,4.66034E+12,4.5806E+12,4.49563E+12,4.40557E+12,4.31064E+12,4.21105E+12,4.10706E+12,3.99893E+12
nonroad vehicles 30,9.36561E+11,8.68234E+11,1.07415E+12,1.09642E+12,1.11607E+12,1.13383E+12,1.15016E+12,1.16473E+12,1.17873E+12,1.19219E+12,1.20514E+12,1.21581E+12,1.22599E+12,1.23569E+12,1.24492E+12,1.25369E+12,1.26074E+12,1.26855E+12,1.27587E+12,1.28268E+12,1.28896E+12,1.29391E+12,1.29621E+12,1.29709E+12,1.29655E+12,1.29454E+12,1.29105E+12,1.28607E+12,1.27959E+12,1.2716E+12,1.2621E+12,1.25109E+12,1.23735E+12,1.22214E+12,1.2055E+12,1.18744E+12,1.168E+12,1.14721E+12,1.12511E+12,1.10174E+12,1.07718E+12,1.05146E+12
appliances and electrical equipment 27,3.27402E+11,3.44247E+11,3.79718E+11,3.82381E+11,3.84134E+11,3.85253E+11,3.85906E+11,3.85995E+11,3.85915E+11,3.85679E+11,3.85293E+11,3.84193E+11,3.82956E+11,3.81583E+11,3.80077E+11,3.78432E+11,3.76278E+11,3.74353E+11,3.7228E+11,3.70052E+11,3.67662E+11,3.64884E+11,3.61358E+11,3.57446E+11,3.53151E+11,3.48472E+11,3.43415E+11,3.37986E+11,3.32194E+11,3.26046E+11,3.19552E+11,3.12724E+11,3.05269E+11,2.97523E+11,2.89502E+11,2.81223E+11,2.72707E+11,2.63972E+11,2.5504E+11,2.45935E+11,2.36681E+11,2.27302E+11
computers and electronics 26,1.07296E+11,1.00683E+11,1.15765E+11,1.16059E+11,1.15899E+11,1.15374E+11,1.1454E+11,1.13371E+11,1.11991E+11,1.10404E+11,1.08616E+11,1.06472E+11,1.04139E+11,1.01621E+11,98920745821,96038409888,92884219631,89645825016,90932246916,92197688125,93440592473,94602057930,95583190787,96471896059,97264478266,97956397676,98544233930,99024770415,99395026975,99651295991,99791157571,99811526903,99610728647,99286821655,98838282189,98264054221,97563577762,96735837318,95781363269,94700295477,93494348206,92164897946
other machinery 28,98630739531,1.01351E+11,1.10412E+11,1.13184E+11,1.15722E+11,1.181E+11,1.20362E+11,1.22475E+11,1.2456E+11,1.2662E+11,1.28659E+11,1.30486E+11,1.3229E+11,1.34073E+11,1.35836E+11,1.37578E+11,1.39162E+11,1.40859E+11,1.42532E+11,1.44178E+11,1.45795E+11,1.4729E+11,1.48511E+11,1.49595E+11,1.50538E+11,1.51331E+11,1.51971E+11,1.52453E+11,1.52773E+11,1.52925E+11,1.52906E+11,1.52712E+11,1.52188E+11,1.51484E+11,1.50599E+11,1.49531E+11,1.4828E+11,1.46844E+11,1.45224E+11,1.43422E+11,1.41439E+11,1.39278E+11
water and waste 36T39,787755300.3,799820110.6,873774144,890648931.1,905612571.6,919265350.7,931976659.4,943480977.5,954728061.2,965745733.6,976556052.1,985715378.9,994667916.4,1003422998,1011986450,1020350945,1027499573,1035445208,1043164104,1050639126,1057851333,1064137404,1068403875,1071659321,1073875928,1075017233,1075059826,1073983041,1071769252,1068393465,1063845037,1058106585,1050121839,1040951950,1030596604,1019060517,1006353608,992481114.2,977464162.7,961319706.2,944080491.8,925775454.2
energy pipelines and gas processing 352T353,1.38633E+13,1.32218E+13,1.60511E+13,1.71791E+13,1.82618E+13,1.93081E+13,2.03238E+13,2.13019E+13,2.22629E+13,2.3208E+13,2.41384E+13,2.50178E+13,2.58817E+13,2.67308E+13,2.75657E+13,2.83867E+13,2.91654E+13,2.99587E+13,3.07385E+13,3.15045E+13,3.22564E+13,3.29738E+13,3.36215E+13,3.42294E+13,3.47958E+13,3.53187E+13,3.57963E+13,3.62272E+13,3.66098E+13,3.69424E+13,3.72237E+13,3.74522E+13,3.75891E+13,3.76708E+13,3.76963E+13,3.76649E+13,3.75762E+13,3.74296E+13,3.72249E+13,3.69621E+13,3.66416E+13,3.62637E+13
construction 41T43,1.5695E+12,1.68802E+12,1.80939E+12,1.79994E+12,1.78919E+12,1.77539E+12,1.75895E+12,1.74171E+12,1.72233E+12,1.70243E+12,1.68083E+12,1.6578E+12,1.6346E+12,1.6103E+12,1.5851E+12,1.56002E+12,1.53428E+12,1.50878E+12,1.48284E+12,1.45657E+12,1.43068E+12,1.40461E+12,1.37844E+12,1.35273E+12,1.32699E+12,1.30173E+12,1.27649E+12,1.25133E+12,1.22662E+12,1.20199E+12,1.17778E+12,1.15364E+12,1.12957E+12,1.10585E+12,1.08704E+12,1.06353E+12,1.04002E+12,1.01647E+12,9.93087E+11,9.69612E+11,9.46208E+11,9.2264E+11
